European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4874,0.132035,0.113739,0.187429,0.183465,0.131717,0.059404,0.017391,0.032537,0.072197,-0.01057,-0.011854,-0.017984,0.026462,-0.001651,0.04343,0.051975,0.008475,0.003167,-0.000503,0.053651,0.078861,0.01286,-0.035002,-0.117727,0.018681
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4875,0.126344,0.118817,0.186298,0.201876,0.134487,0.064145,0.011986,0.029768,0.07322,-0.014032,-0.00682,-0.02218,0.029583,0.001927,0.031623,0.058605,0.009388,-0.001267,-0.007919,0.058153,0.080733,0.013602,-0.035002,-0.131103,0.012095
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4876,0.130897,0.112724,0.185543,0.179589,0.13818,0.054941,0.022326,0.041537,0.068515,-0.010387,-0.008444,-0.016186,0.027502,-0.002477,0.033387,0.036197,-0.007823,0.005701,-0.00993,0.048398,0.079859,0.007914,-0.037098,-0.132669,0.017244
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4877,0.127482,0.112724,0.19384,0.183788,0.142488,0.051595,0.017391,0.031845,0.064834,-0.015672,-0.003248,-0.024129,0.031516,0.000413,0.031894,0.052108,0.005476,0.009628,-0.005405,0.046522,0.074369,0.0115,-0.041658,-0.126765,0.012693
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4878,0.129758,0.111708,0.179887,0.175713,0.132025,0.0502,0.011045,0.031383,0.068106,-0.008383,-0.013478,-0.016785,0.029583,0.004266,0.037052,0.053566,0.014733,-0.001014,-0.011187,0.047523,0.085849,0.004204,-0.034386,-0.127247,0.010179
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4880,0.134311,0.111708,0.181772,0.174421,0.127101,0.052989,0.018096,0.02723,0.067902,-0.014761,-0.013641,-0.0234,0.021258,-0.001514,0.030266,0.053831,0.013299,0.009122,-0.003268,0.049399,0.075741,0.017311,-0.035002,-0.122668,0.005508
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4881,0.130897,0.119832,0.18592,0.184111,0.131101,0.063308,0.011281,0.038998,0.073629,-0.018953,-0.011854,-0.020232,0.032705,0.010459,0.035966,0.042296,-0.006389,0.002407,-0.00088,0.048898,0.079734,0.007543,-0.037344,-0.133633,0.011376
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4914,0.134311,0.114755,0.186298,0.179912,0.133563,0.056615,0.014336,0.030922,0.066675,-0.004191,-0.001299,-0.018583,0.025718,0.003441,0.036916,0.05171,0.010691,0.005068,-0.00993,0.059028,0.073246,0.004204,-0.029949,-0.117004,0.012095
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4915,0.122929,0.112724,0.177247,0.180558,0.123408,0.05271,0.011516,0.03346,0.063811,-0.010205,-0.011205,-0.010641,0.029881,0.001376,0.031487,0.053964,0.007693,0.010515,-0.008547,0.047148,0.077987,0.014344,-0.031305,-0.113269,0.013891
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4916,0.136588,0.116786,0.182904,0.169899,0.130794,0.063029,0.013631,0.028614,0.070152,-0.016037,-0.006008,-0.024129,0.027651,-0.004679,0.033794,0.041103,-0.000522,0.004687,-0.005782,0.043521,0.072123,0.01793,-0.028347,-0.119414,0.002754
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I4917,0.136588,0.106631,0.182526,0.187987,0.124639,0.057173,0.012221,0.028383,0.061766,-0.012757,-0.009419,-0.017385,0.026908,-0.002615,0.034066,0.05171,0.004955,0.008488,-0.006536,0.048398,0.07075,0.008779,-0.02465,-0.113992,0.008861
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5233,0.135449,0.117801,0.183281,0.183142,0.130794,0.063866,0.011986,0.032076,0.063198,-0.017859,-0.007957,-0.016335,0.032259,0.006193,0.038002,0.041501,-0.015125,0.009248,-0.004902,0.049149,0.078986,0.007914,-0.03414,-0.122427,0.011376
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5234,0.132035,0.122879,0.181395,0.173452,0.12987,0.050479,0.00705,0.033922,0.064834,-0.008747,-0.010555,-0.01094,0.017096,-0.000963,0.03583,0.045346,-0.005737,0.014696,-0.009679,0.044396,0.079734,0.009769,-0.040548,-0.130982,0.013053
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5235,0.125205,0.113739,0.170836,0.175713,0.123715,0.049364,0.012926,0.035768,0.063198,-0.00656,-0.011367,-0.016485,0.026016,-0.007982,0.027823,0.050649,0.013821,-0.000253,-0.004525,0.049899,0.079734,0.012736,-0.031921,-0.119776,0.015687
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5236,0.122929,0.123895,0.184035,0.181204,0.133563,0.053547,0.013631,0.028845,0.060539,-0.012028,-0.013153,-0.019483,0.026908,0.002615,0.026194,0.046009,0.001434,0.005574,-0.011941,0.049899,0.075492,0.017682,-0.029579,-0.119896,0.00958
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5237,0.133173,0.126941,0.1912,0.174744,0.138795,0.050479,0.00799,0.032999,0.066879,-0.007107,-0.008607,-0.015586,0.026016,0.00523,0.034337,0.037788,-0.007823,0.007221,-0.006788,0.040895,0.076615,0.005317,-0.031798,-0.124234,0.006466
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5238,0.130897,0.113739,0.182149,0.172806,0.117868,0.059404,0.010105,0.035768,0.061766,-0.014761,-0.00682,-0.021431,0.030475,0.004817,0.030673,0.050517,0.010952,0.007348,-0.007668,0.044146,0.060518,0.008037,-0.030935,-0.102183,0.008742
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5239,0.126344,0.110693,0.184789,0.18508,0.124946,0.053268,0.020916,0.032306,0.056653,-0.016766,-0.008931,-0.012589,0.02661,-0.004817,0.02728,0.055025,0.012778,0.003927,-0.002011,0.043646,0.070126,0.006554,-0.034509,-0.118932,0.010777
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5240,0.127482,0.126941,0.180641,0.180558,0.132025,0.054663,0.012926,0.036229,0.058903,-0.011299,-0.011692,-0.018434,0.02334,-0.00055,0.031623,0.057544,0.011213,0.007601,-0.004148,0.049024,0.069378,0.007419,-0.027854,-0.127488,0.013412
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5242,0.130897,0.114755,0.178378,0.17216,0.130794,0.056057,0.017156,0.03023,0.062175,-0.008383,-0.008769,-0.020232,0.029732,-0.003716,0.028501,0.044418,0.013951,0.005194,-0.006536,0.045272,0.071249,0.011994,-0.034016,-0.11845,0.005269
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5244,0.130897,0.113739,0.167442,0.176359,0.132025,0.055499,0.019271,0.035537,0.070561,-0.00656,-0.002761,-0.014237,0.017839,-0.001376,0.032166,0.050384,0.010691,0.006588,-0.013701,0.0519,0.078112,0.005812,-0.035372,-0.122788,0.005149
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5401,0.129758,0.120848,0.17159,0.169253,0.121561,0.060519,0.00282,0.031153,0.067084,-0.005649,-0.013803,-0.018733,0.024975,-0.003165,0.035016,0.052903,0.000391,0.007475,-0.013575,0.040269,0.075991,0.016569,-0.039439,-0.120137,0.021435
European_Hunter_Gatherer:SRB_Iron_Gates_HG:I5402,0.129758,0.114755,0.187806,0.177974,0.126485,0.055499,0.013396,0.032999,0.058698,-0.011116,-0.010718,-0.019782,0.022894,0.002202,0.027008,0.041235,-0.011213,0.006081,-0.004022,0.048398,0.078362,0.006059,-0.0334,-0.117486,0.008502
